username,text,public
@m.rg.5860,"According to data collected in a recent gala poll (2023), we are seeing a pattern among the LGBTQ population in the US. 

Of those from the Silent Generation (before 1946) less than 1% identify as LGBTQ
For the Boomers, 2.6% identify as LGBTQ
In Gen x we have 4.2% LGBTQ
10.5% of Millenials say they are LGBTQ
For Gen Z there is 20.8% that are LGBTQ

The LGBTQ population is roughly doubling each generation. This pattern which has been consistent over the last 3/4 of a century and if it continues this indicates that everyone  in the generation born after 2055 in the US will be LGBTQ",TRUE
@Food_Bush.,Why are people doing this why are they normalizing this,TRUE
@F0rG0dSake,The fact is LGBT is a group of people sick in their head. Natural gender are no such thing as gay or lesbian. And now they spread them as normal thing. If you sick in the head don't reason it to be normal.,TRUE
@danielhe551,"It’s always emphasizing how they feel, what about straight people? It’s not fair!!",TRUE
@lorrainemapper7000,"Im just going to say what I think because I just can’t keep it to myself anymore from how annoying it is:
I completely respect gay/lesbian people in general, they are normal people like us, but I absolutely hate the LGBTQ community, I literally can’t fucking stand every aspect about it, just to give you an example you literally can’t open social media for more than 5 mon without seeing something related to LGBTQ, they are literally a normal community and have normal people in them with different thoughts, but yet they are so over glorified in Western Society as if every Single member had just accomplished something important to the course of history by being gay. And that’s not all, because the problems also come from inside the community, i just feel like a lot of their members make their sexuality their whole personality and expect to be considered as gods, I also heard disgusting stories related with lgbtq members including stories of sexual assault…
A lot of the LGBTQ community disgusts me, but not all members in general, I completely understand that some members are chill and are normal people that never did anything wrong and simply consider this community as a safe haven, and I also understand that LGBTQ members aren’t the only one who did bad things here, as i also heard stories of straight people assaulting and harming members of the community, but I feel like a lot of the problems of the LGBTQ community are overshadowed by discriminations against members of it…",TRUE
@WhatchaLookinAtBro,"Im straight, but i do sometimes feel very uncomfortable around LGBTQ+ people. Well before you get mad at my comment for saying this, I've met some of them who are very chill, but some of them aren't (well its common if people feel angry tho but this one isnt) Some of them are rude, since they knew im straight, theyre calling me Homophobic, Cisgender, some of them started mocking my religion, but oh well, not everyone in the community is rude like that. Afterall, i did not attack anyone for being LGBTQ. Yall can hate me for saying that LGBTQ+ people are rude. Cya.",TRUE
@wesleyk.8376,"Why use quotations around UNCOMFORTABLE??? WE ALL
HAAAAATE THIS DISGUSTING GARBAGE",TRUE
@Cutiepie-rz6mc,That’s all bullshit,TRUE
@beeman9229,"""Lack of understanding of the LGBTQ spectrum""
Yeah, I don't think you'll understand a .50 BMG round in your prefrontal cortex",TRUE
@AlphaHaze,"Yes, I have the right to feel uncomfortable by my own community. A trans male called me a ""sl*t"" because I kept accidentally misgendering him when he could have politely told me what his pronouns are. He's just mad I wasn't on his side and I was defending my favorite youtuber because they were being bullied by him. I felt very disturbed and even cried knowing I got called something very innapropriate when I'm still a minor.",TRUE
@SoaringShade,"I'm just sick of this invading all forms of media and entertainment. I can't watch a movie, read a book, or play video game without some contrived virtue signaling lbtq member being in it, exclaiming proud and loud tha their a guy non binary lily pad. While in the same show or movie the main character or side character didn't have to explain that they are a straight white male. No one cares about your problems and that you feel excluded from attention.",TRUE
@user-di8hm2jl2u,"People are tired of authoritarian activism, especially in schools. Not hard to understand.",TRUE
@CIayt0n,Im just tired of this stuff being shoved in my Face everywhere I go.,TRUE
@hidecris1,the rainbow is a biblical symbol.,TRUE
@door7639,"Grass is a type of plant with narrow leaves growing from the base. A common kind of grass is used to cover the ground in places such as lawns and parks. Grass is usually the color green. Grasses are monocotyledon herbaceous plants.

The grasses include the ""grass"" of the family Poaceae. This family is also called Gramineae. The family also include some of the sedges (Cyperaceae) and the rushes (Juncaceae).[1] These three families are not closely related but all of them belong to clades in the order Poales. They are similar adaptations to a common life-style.

The true grasses include cereals, bamboo and the grasses of lawns (turf) and grassland. Uses for graminoids include food (as grain, sprouted grain, shoots or rhizomes), drink (beer, whisky), pasture for livestock, thatching thatch, paper, fuel, clothing, insulation, construction, sports turf, basket weaving and many others.

Many grasses are short, but some grasses can grow tall, such as bamboo. Plants from the grass family can grow in many places and make grasslands, including areas which are very arid or cold. There are several other plants that look similar to grass and are referred to as such, but are not members of the grass family. These plants include rushes, reeds, papyrus and water chestnut. Seagrass is a monocot in the order Alismatales.

Grasses are an important food for many animals, such as deer, buffalo, cattle, mice, grasshoppers, caterpillars and many other grazers. Unlike other plants, grasses grow from the bottom, so when animals eat grass they usually do not destroy the part that grows.[2] This is a part of why the plants are successful. Without grass, soil may wash away into rivers (erosion).",TRUE
@Joya_Day,"My best friend of over 10 years is gay and I would go to the gay club with him because thats where he felt safe. I didnt mind. I had gay people scream ""ew the straights"" at me. I had a gay black man ask me if I was asian, then when I said yes, pulled back his eyes at me saying, ""yeah I can tell 🙄."" I brought a straight guy friend once with me and he was SEXUALLY ASSAULTED by multiple gay men. I couldn't do it anymore. I threw away a decade long friendship and distanced myself. I felt gross being associated as an ally when my friend couldn't stick up for me because I am straight. How could I be an ally when I have seen so many horrible things happen within the community? Even from my own friend who used to NEVER be this way until he started being apart of this community. From the drag shows, gay bars, to parties with mostly lgbtq people. There was so much sexualization, crimes, and awful people.",TRUE
@IDKLoL212,"As a straight woman 
I have to say that I don't hate them but i just support those who are born with this because they can't change themselves and it's normal then but what i hate is people convincing people to question their sexuality and going children play school just to teach children gender identification is rubbish why are you ruining a young child's mind and also those who ask for special treatments or forcefully make people accept them is weird and should be stopped",TRUE
@penguingobrrbrr353,I feel uncomfortable because its not natural thing.,TRUE
@yousif4785,"I’m a Christian and personally do not support the life style of this community. That does not mean I hate gay people, I just don’t support their lifestyle. However according to this community I am a homophobic piece of shit. Problem is they create no room for conversation. It’s either your agree with what I say or your an awful person.",TRUE
@julianbalidio8532,Dude I think the LGBTQ community is just forcing their life style onto other people ESPECIALLY FUTURE GENERATIONS just stop,TRUE
@QuatMan,This is why they are aghressive targetting young children,TRUE
@stefaniemedina14,"Its the trans activists and non-binary nonsense. I know people who have worked with these people and it is a nightmare, they generally do not want to work, they want to cause trouble. No wonder managers are refusing to hire people who pit their pronouns on their resume.",TRUE
@slushe909,Im transphobic,TRUE
@bazbuncher6948,This Month do not forget to say Thank You to straight People for your Existence.,TRUE
@mubashar1100,Finally world war or gays has been started,TRUE
@danasutterfield7038,Gay people these days are completely uncomfortable with the LGBTQRSTUVLMNOP .... Several years ago no one had a problem with it.....but the garbage and pedophilia that they're pushing and the  grooming of children..... People are turning away from that organization,TRUE
@ANUJKUMAR-jl6ns,It takes hell lot of dare to be a man those ho cannot ..they try to be a woman,TRUE
@khabibnurmagomedov8581,This is a great news as a man in my early twenties i myself turned anti gay from pro gay..........,TRUE
@USViper,"I'm a straight heterosexual and proud of it! Without us, the human race disappears.",TRUE
@thefinalhour-zerohour,"you know something, I think this community didn't lie when it said it could ruin anything.
You ruined my childhood, my strong streets, you made people accept you. And my ruined friends, leaving me alone. , you can mistake me. I would destroy your flags, for I would take revenge. I feel uncomfortable standing at home. Knowing that I saw a gay couple at least one day. You have ruined religions and done shit. God created Adam and Eve, not Adam and Steve. Shame on you, for the things you ruin for other people and for me.",TRUE
@moneyinmymind3028,"They are only forming an army when the end times comes. I feel no remorse on those PIGS, but when it happens there bodies will be taken over an evil being, they will only hear and see while and angel destroy there vessel. The war of all wars is coming, people wake up!!! There evil!!!!! They follow a satanic way!!!! Targeting STRAIGHT MEN, MARRIED MEN, and our most important value CHILDREN!!! I have WITNESS ON HOW THEY FIRST sleep with MEN and then target YOUR DAUGHTERS TO HAVE CHILDREN. THIS NEEDS TO STOP!!!!",TRUE
@copingflower1909,"Hmmm I wonder why that is, oh I know probably because they fucking outlawed opinions and have made a world a more sided place then it already was, say what you will but they only add onto the problem of why we are so divided as a society",TRUE
@violettracey,I have a theory that politicians and large companies are encouraging increasingly extreme beliefs and behaviors in the LGBTQ community to turn it from a movement into a cult so they can profit from it.,TRUE
@TheOfficialGlitchTTG,Imma Go Start Some Straight Marches 😂,TRUE
@stratussol2475,It's only gone further down since and will continue to do so.,TRUE
@WaseemAli-zu7wu,Netflix is the no 1 platform to shove the  lgbtq sexuality in people faces.,TRUE
@phillipbrown9228,"Here's a message that EVERYONE needs to hear:
https://youtu.be/SeuwbereRQk",TRUE
@RyuS-kw4dl,"The lgbtq community wants you to accept them, but they can't accept you isn't that kind of funny. 

They want us to accept them but they can't accept us for Who We Are😅

You can't fight hatred with hatred you can't accept someone who doesn't accept you. 

As a white racist I support the lgbtq community all hell lgbtq 🫡 

🤣🤣😂",TRUE
@PoorDog69,"As a gay man, I find LGBT really uncomfortable due to the mockery of homosexuality in media and in public. As a teen, I felt like there were hardly any gay guys to find, and all I see is a bunch of men acting inappropriate while claiming to be gay, which makes it hard for me to believe to step into their shoes, cuz that sounds like predatory behavior to me.",TRUE
@azazelhalo9,You proud of yourself it is something nice. But you cannot force people to be proud of you.,TRUE
@lazygagalxxxv,"They did this to themselves. Bare naked and hypersexualizing themselves at pride parades in front of literal children, of course its unsettling among other things. Coming after anyone who doesn't agree with them and almost bullying them out of existence etc. not exactly gonna win them any popularity contest.",TRUE
@jonathaniraheta1586,Literally dipped on the community out of embarrassment. It’s becoming messy as hell,TRUE
@whiteknob7944,"Yeah, because you force it on them you sick pedos.",TRUE
@nikrose5229,"I am 21 years old and I use to be a straight ally of the community. Nowadays after seeing how perverted, immoral, and corrupt the LGBT community truly is. I have to say I will never support them and would not care if their rights are taken from them. They clearly cannot behave properly if given rights so maybe it is best to take them away.",TRUE
@sonicszuetomyt5448,"Alexa
_Play ""The only thing they fear is you"". Let's dance_",TRUE
@shocktrapproductions6332,"This is the one community that I will love to destroy.

Not by words, but through something more violent...",TRUE
@PaPaDams7,THE END OF LGBTQ IS NEAR,TRUE
@RemFemFaveRaveDJ,I became celibate after all the abuse going on in the gay community and find it repugnant that a female impersonator has invaded my privacy in the dormitory and bathing/ dressing room. They are often violent and want everyone to live according to their fantasy...,TRUE
@SadPanda1978,The ‘community’ has become toxic.,TRUE
@Screwby_Jones6200,This Is just a colorful way of fascism,TRUE
@fredtheprotogen6597,I am a straight furry that feels uncomfortable in it. I mean you would feel uncomfortable if you get the same flag in your face every millisecond,TRUE
@anuragchaturvedi5440,YOUTUBE IS TRYING TOP FEED US LGBTQ BULSHIT. THE SOCIETY LGBTQ IS BUILDING WHRE A MANS WILL BE ABLE TO GO TO WOMAN'S RESTROOM AND HAVE EYES OPENING VIEW,TRUE
@smokedope4733,"What is LGBT ?

Got it now what's the other Letters of that is missing?

S B P = Straight Bisexual People is what's missing.

Remember the ones who did with you u knowing and ones who have had 3 some and orgy's 

There goes the other hidden letters.",TRUE
@FelianGremlin,"Only if the folks keep it to themself and not shove it to our face that the said ""person"" is gay and not explaning that their pronounces were not said correctly and getting mad with the fact that me mispronounced their pronouns, will I be happy to live among them. Have plenty of friends that are LGBT and most of them are chill, but there are some people who give LGBT a bad rep tbh.",TRUE
@d4xdly928,i do feel uncomfortable around the lgbtq so many are pushing it to kids I'm 11 and every girl in my school says there lesbian thing is its also a sin,TRUE
@twylahanson955,"Thank Your Favorite Media for Giving them the freak-show stage.... 
it may just be me... and Most every other straight person to soft to say it...  but Us of those born within The Natural Order..  are absolutely appalled by having such a minute percentage of freakish behaviors being forced down our throats of acceptance.. Literally DEMANDING we bow to their sick and twisted ways....",TRUE
@tytheby5029,"I’m gay, I said that pride is kinda stupid nowadays 
And got beat up by gay people for being homophobic :)",TRUE
@Santiago-sh3cq,"Yeah, they are insufferable.",TRUE
@nicholewhite4067,I just think they are rude if you don't agree with them,TRUE
@HassaanQ,this rainbow cult is so effin toxic. Its time we do something to restore the good ol' natural order. Enough of sexualising our kids. 1% of tiny minority having the loudest of noise should not be allowed to alter the natural way of living.,TRUE
@willowpark4995,"I think the lgbtq rights movement just lost its original purpose of fighting to make lgbtq have equal rights. Now, its just some people shoving down lgbtq down your throat and you’ll be deemed homophobic and/or transphobic if you were to do as little as to criticize a lgbtq person’s actions + make fun of people for being straight and/or cisgender. I’m queer, but I often stay away from the lgbtq community for this reason.",TRUE
@DevilishBeaver0,"They have become the centre of cancel culture, ruining lives simply because other people's opinions differ from their own. Some of them are the most vindictive, self righteous, egotistical scum to ever walk the earth. They are so blind with their ""oppression"" that they can't realise they've become the LEAST oppressed people in the world.
It feels more like a cult or a gang than a righteous movement.
It's kind of like how feminism started off as a movement for equality, now it's a movement for superiority.",TRUE
@t0ph4t1,"As a straight, I can't really say anything other than I hate society for forcing us to like lgbtq. I have a gay uncle, one of the coolest people I have met, and nothing feels different, only he is married to a guy, he is still one of the greatest people I've met and it will never change.",TRUE
@maftaa,As they should be,TRUE
@KingSkrap,"This is everything wrong with our country. These people are people, we don’t need a stuped parade for them to tell us that. Be yourself and don’t care about others. That’s what I do and it works for me",TRUE
@snakeeatingkiller,Why sex preferences should be taught worldwide even for kids? Our society is degrading.,TRUE
@Expatnema,"Can we call them promiscuous community instead? 😊 i know gay people and respect them for who they are but lately, they shove everything in your throat.",TRUE
@SISKCERTWaJaVlogs,"Im bicurious and i prefer the republican stuff and other sports and hobbies over annoying progressives trying to turn society upsidedown and be annoying

""acceptance"" really just agrement
""Diversity"" really just dont be white cis het
""Pride"" a deadly sin 
""Gender"" a reason to blame the patriarchy for your problems instead of looking urself in the mirror
""Political correctness"" correct in that it spares feelings over facts
""liberal"" confined to leftists",TRUE
@JachterRSR,"Tbh the whole community and stuff should have kept on being opressed, then we would not have come to this utter madness society has to deal with.",TRUE
@user-mj1vx6ye6q,"Advice from my heart ♥️🌹
For those who want to solve the same social problems and psychological problems such as depression and others. All solutions are found in the Holy Quran

The Noble Qur’an is the light of the way

thank you
For those who love their soul, listen to his advice",TRUE
@-ItsBen,"Tbh it’s not the lack of understanding.. it’s about how it’s been forced on straight people now I see the 🌈 everywhere and it started to bother me before it didn’t I used to get along better with gay people now I avoid them. The reason is that I found out that gay people don’t just want their rights they want to bully you and cancel you if you disagree. 

I’m not trying to be mean or something but I feel that we need to talk about it.",TRUE
@-2025S,Nice to see the American flag waving...,TRUE
@naeemgierdien3512,this url literally has the word gay in it LMAO,TRUE
@Theunknown-tomatoe,"Im Christian and i really dont care about pride month or LGBTQ , trans, pan, bi, gay,or les. I only get mad when the LGBTQ people call a person a homophobe for not agreeing with them",TRUE
@bluecrayfish2081,"I hate when the LGBTQ ""Community"" shove their sexuality. It's making me uncomfortable.",TRUE
@makeyourday2540,"Call me crazy but these all link back to 3 things,the elites,the illuminati and the matrix we live in",TRUE
@astridasta9254,Can someone tell me why is there a pride month just curious 🤨,TRUE
@hockeyguy1641,Bro if you don’t use their prounouns they and then according to them your homophobic,TRUE
@Rororandd,"When the homophobe and LGBTQ member start arguing, it's the most toxic argument ever",TRUE
@teddie4588,the community fell down when the + arrived,TRUE
@owenmcbride1,It’s working!,TRUE
@aeiou3826,tables are turning. Soon this community will calm the f*ck down.,TRUE
@69MUSTANGE,Not uncomfortable just plain boycott all movies and Tv shows with lgbtqB/S!,TRUE
@pumfeethermodynamics3286,"all this shit people are saying in the comments; just making up shit and creating strawmen to make an excuse hate LGBTQ, just goes to show they need a reality check and all yall need to get off ur ass and go outside and stop making shit up about trans people",TRUE
@pumfeethermodynamics3286,"seeing the bis and gays in the comments trying to side with the transphobes and saying stupid shit like ""trans people and non binary people and pronouns are too"" make me very sad",TRUE
@poopedcheetah2,Its the entire generation...stop sitting around waiting to get outraged cause some one can't keep track of ur daily made up pronoun changes or hasnt been poisoned by the internet wokeness...these kids are taking the long decades fight for equality and turning it into a spoiled brat shit show...it's like they get off on finding something to be offended by and harassing them the way they don't want to be,TRUE
@doc7810,I personally don't have a problem with someone who is in lgbtq or any of the sort. It's just that the MAIN issue is that it has become this inconceivably hostile and toxic community that is so difficult to get yourself to respect it sometimes because of the constant shoving of their sexualities in your face or reminding you consistently that they are this gender or that they are gay and whatnot. If you're gay or trans that's completely fine but jesus christ stop constantly shoving it in people's faces and making it your whole personality that you are said gender and/or sexuality. Just move on. LGBTQ representation is genuinely good if done correctly and not forced for the sake of being forced.,TRUE
@akanshasaha6128,"I respect lgbtq community, I hope every one should since they are also humans but I wish gay people stay in limit.... Nowdays harassment cases on straight man increasing by gays community.... They must remember a large population of the world is still heterosexual and they should not talk or try to hit on straight people they got attracted to.... Especially when they already know, they doesn't belong to that community, and can get really uncomfortable",TRUE
@hissifit,"LGBTQ+ Merch? (armbands, flags n such) Okay, cute. Rallies? Too many homophobes to stop doing that. All of that stuff is cool, but can we stop making such a big ass deal about our sexualities??? Okay, yeah. I’m bi. I don’t have to mention that every time I talk to someone. I don’t have to make that my entire personality. Please, *SHUT UP* about the “gay best friend”. Stop the stereotypes, stop the pretending to be LGBTQ+, Can we just be accepted and not popularized???",TRUE
@eddy7346,"It's the whole ""pride"" aspect that is just goofy as all hell. You can lean whichever way you want, just don't shove it down people's thoat or call it 'pride"" like it's some grand virtue. And also don't forget the social massacre you'll get yourself into if god forbid you call one of those people out on their bullshit. I know gay people, but thay don't make a fuss about it or make THAT their personality. Shit's stupid",TRUE
@andyiswonderful,"There was nothing in this video.  no context, no explanation, no speculation, no numbers.",TRUE
@FlashyyASMR,"At this point, I’m just questioning what to even do anymore. I am non-binary, so usually I should be supportive of the community I’m apart of, but people have valid arguments, they’re right, or they just flat out hate anyone. It feels like everyone just seems to hate the community even though not everyone is as bad as the examples they use. So  it’s just really making me question if I should stop being myself just to make people happy, or if I should just stop supporting and start hating the community I’m apart of. At this point, it feels like my only solution is to never go out into the outside world and cut off any form of media and just not worry about anything at all.",TRUE
@byildingcheeks4396,"I was fine with them at first. Everything was okay. You wanna get married okay,you wanna date,fine..but then they started being rude. Telling me that my opinions aren't important because I'm not lgbt or I don't have the right to dislike a ship in a cartoon or tell them that (cartoon or not) shipping kids and adults is wrong. Somehow I'm just a homophobe even if I agree with something they say. They call me stupid and idiot after every sentence for telling them that kids can't be with adults regardless of if it's reality or not btw. And say that I should leave because I'm not welcome. They are the same people demanding respect and they don't want to show any for anybody else. They feel the need to ""educate"" you like you don't know anything and ignore what you say because as I mentioned your opinions mean nothing. And if I say anything that ""makes sense to them"" then they ask me why I care because they don't know how to answer. There have been many occasions where I was reported on instagram for absolutely no reason. I didn't say anything wrong I just asked an honest question because I couldn't understand what somebody said and when I tried to get on it was disabled. There are also people saying people are gay without proof of it and to that I said it's a human being let them make that decision please  and I was being nice about it. And what response did I get? Get tf out of here. Because apparently that's how people talk to each other? There are more reasons but I just listed a some of them or else this would be longer. So it's not because we just hate them for no reason at all it's the things they do that make you push back",TRUE
@unromanoarecareanaveragero8275,All the LGBT people who thinks the Pride Month is shitty are *REAL* people!,TRUE
@justanothermortal1373,I have literally nothing against lgbt people but I totally agree with this video and agree where the hatred is coming from.,TRUE
@Equivalent-Secret-91_bruh_,comment if you oppose young people here,TRUE
@Equivalent-Secret-91_bruh_,"only time will tell,it may return to the barebone solution.",TRUE
@Equivalent-Secret-91_bruh_,"it is not on average any good and you need to make a sarcastic decision to pay for such to become one in order to reflect the corruptness of a law present with the glorious freedom here and his own splendidness and ifnorance.true freedom should be well used.the least of the rules are present primitively.There may be some that are truly innocent and a trans eprson does not necessarily have to do this.They should do so only if desperate and should understand other’s rarely but possible similar situations.It truly reflects the idiocy of one if it is about a choice and for popularity with a mask building on the ones with real needs.any disagreement or agreement should not blindly force all,and exaggeration isn’t good either.this can be applied elsewhere,",TRUE
@Galashnik,lightning green blue tea queen is for crybabies,TRUE
@possuminshirt,"tbh as someone who is part of lgbtq 

the community SUCKS 
why are people so FORCEFUL and TOXIC
why are people harrassing people IN THEIR OWN COMMUNITY??
and why are people harrassing heterosexual people?? 
we want equality so why are they doing the exact opposite?

they are ruining our reputation damn it

if people don't actively support it they are not homophobic (as long as they don't harass people for being gay)
not everyone HAS to support it",TRUE
@roygbiv1938,A great example of the left-wing using identity politics to divide and conquer American citizens.,TRUE
@joesoldchanneldeprecated5948,I still have this sentiment even after coming out as bi.,TRUE
@hadihassanieh9680,This is crazy .. what happens in your bedroom. keep it to yourself we dont care just stop trying to force your beliefs on us and our kids just STOP!! If you believe it is right you wouldn’t put that mich effort to prove it.,TRUE
@farinfasfarinfinfinhas7903,Bruh imagine having pride by your sexual preferences and not by achieving anything,TRUE
